Level,Region,Division,School_ID ,Province,Modified_ClassOrg_BasedonEnrollment,IndexScore
ES,Region I,San Carlos City,100000,PANGASINAN,Monograde,0.04
ES,Region I,Ilocos Norte,100001,ILOCOS NORTE,Combined Monograde and Multigrade,0.03
ES,Region I,Ilocos Norte,100002,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100003,ILOCOS NORTE,Monograde,0.04
ES,Region I,Ilocos Norte,100004,ILOCOS NORTE,Monograde,0.04
ES,Region I,Ilocos Norte,100005,ILOCOS NORTE,Combined Monograde and Multigrade,0.05
ES,Region I,Ilocos Norte,100006,ILOCOS NORTE,Combined Monograde and Multigrade,0.03
ES,Region I,Ilocos Norte,100007,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100008,ILOCOS NORTE,Monograde,0.04
ES,Region I,Ilocos Norte,100009,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100010,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100011,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100012,ILOCOS NORTE,Combined Monograde and Multigrade,0.04
ES,Region I,Ilocos Norte,100013,ILOCOS NORTE,Monograde,0.05
ES,Region I,Ilocos Norte,100014,ILOCOS NORTE,Monograde,0.04
ES,Region I,Ilocos Norte,100015,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100016,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100017,ILOCOS NORTE,Combined Monograde and Multigrade,0.05
ES,Region I,Ilocos Norte,100018,ILOCOS NORTE,Combined Monograde and Multigrade,0.1
ES,Region I,Ilocos Norte,100019,ILOCOS NORTE,Combined Monograde and Multigrade,0.07
ES,Region I,Ilocos Norte,100020,ILOCOS NORTE,Monograde,0.05
ES,Region I,Ilocos Norte,100021,ILOCOS NORTE,Combined Monograde and Multigrade,0.07
ES,Region I,Ilocos Norte,100022,ILOCOS NORTE,Monograde,0.03
ES,Region I,Ilocos Norte,100023,ILOCOS NORTE,Monograde,0.06
ES,Region I,Ilocos Norte,100024,ILOCOS NORTE,Monograde,0.09
ES,Region I,Ilocos Norte,100025,ILOCOS NORTE,Monograde,0.07
ES,Region I,Ilocos Norte,100026,ILOCOS NORTE,Monograde,0.07
ES,Region I,Ilocos Norte,100027,ILOCOS NORTE,Monograde,0.17
ES,Region I,Ilocos Norte,100029,ILOCOS NORTE,Monograde,0.06
ES,Region I,Ilocos Norte,100030,ILOCOS NORTE,Monograde,0.1
ES,Region I,Ilocos Norte,100031,ILOCOS NORTE,Multigrade,0.14
ES,Region I,Ilocos Norte,100032,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100033,ILOCOS NORTE,Combined Monograde and Multigrade,0.11
ES,Region I,Ilocos Norte,100034,ILOCOS NORTE,Combined Monograde and Multigrade,0.1
ES,Region I,Ilocos Norte,100035,ILOCOS NORTE,Monograde,0.09
ES,Region I,Ilocos Norte,100036,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100037,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100038,ILOCOS NORTE,Monograde,0.06
ES,Region I,Ilocos Norte,100039,ILOCOS NORTE,Combined Monograde and Multigrade,0.08
ES,Region I,Ilocos Norte,100040,ILOCOS NORTE,Monograde,0.09
ES,Region I,Ilocos Norte,100041,ILOCOS NORTE,Combined Monograde and Multigrade,0.12
ES,Region I,Ilocos Norte,100042,ILOCOS NORTE,Monograde,0.14
ES,Region I,Ilocos Norte,100043,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100044,ILOCOS NORTE,Combined Monograde and Multigrade,0.14
ES,Region I,Ilocos Norte,100045,ILOCOS NORTE,Combined Monograde and Multigrade,0.08
ES,Region I,Ilocos Norte,100046,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100047,ILOCOS NORTE,Monograde,0.09
ES,Region I,Ilocos Norte,100048,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100049,ILOCOS NORTE,Multigrade,0.09
ES,Region I,Ilocos Norte,100050,ILOCOS NORTE,Monograde,0.12
ES,Region I,Ilocos Norte,100051,ILOCOS NORTE,Monograde,0.09
ES,Region I,Ilocos Norte,100052,ILOCOS NORTE,Combined Monograde and Multigrade,0.08
ES,Region I,Ilocos Norte,100053,ILOCOS NORTE,Monograde,0.08
ES,Region I,Ilocos Norte,100054,ILOCOS NORTE,Multigrade,0.16
ES,Region I,Ilocos Norte,100055,ILOCOS NORTE,Monograde,0.13
ES,Region I,Ilocos Norte,100056,ILOCOS NORTE,Combined Monograde and Multigrade,0.09
ES,Region I,Ilocos Norte,100057,ILOCOS NORTE,Combined Monograde and Multigrade,0.09
ES,Region I,Ilocos Norte,100058,ILOCOS NORTE,Combined Monograde and Multigrade,0.1
ES,Region I,Ilocos Norte,100059,ILOCOS NORTE,Monograde,0.07
ES,Region I,Ilocos Norte,100060,ILOCOS NORTE,Combined Monograde and Multigrade,0.12
ES,Region I,Ilocos Norte,100061,ILOCOS NORTE,Monograde,0.09
ES,Region I,Ilocos Norte,100062,ILOCOS NORTE,Monograde,0.08
